Socio_economic_class,Food_Eating _Habits,Native_Language,SEX,AGE,EDU,Household_Size,CHILD,Television,Affluence_Index
4,3,10,1,3,5,5,2,2,15
4,3,10,2,2,5,4,2,2,13
3,3,10,2,3,5,4,2,2,17
2,1,4,1,3,5,3,4,1,20
4,3,5,2,2,5,5,5,1,0
4,1,10,2,2,1,4,2,1,4
3,3,5,2,2,5,5,5,1,0
4,1,4,2,3,5,5,2,2,12
4,3,10,1,2,4,5,3,1,10
3,1,10,2,3,5,5,2,1,15
2,3,10,2,2,7,4,3,1,19
4,3,10,2,2,4,5,2,1,10
3,3,10,2,3,4,5,2,1,12
4,1,4,2,1,3,15,1,2,15
3,3,10,2,2,5,5,1,1,18
4,3,10,2,4,1,4,4,1,5
3,2,10,2,4,4,5,4,1,15
1,3,10,2,4,4,7,1,1,34
4,3,10,2,4,1,6,1,1,10
2,3,10,2,4,4,6,1,1,14
3,3,10,2,4,4,5,4,2,16
4,3,3,2,4,4,2,4,1,28
4,3,10,2,4,1,4,4,1,11
4,3,17,2,4,3,5,4,1,10
3,3,10,2,3,5,7,4,2,7
4,3,17,2,1,7,2,4,1,17
2,3,10,2,4,4,6,1,1,14
3,3,10,2,4,3,4,4,2,14
4,3,10,2,4,3,4,4,1,18
3,3,10,2,4,4,3,4,1,15
2,3,6,2,4,4,7,3,1,17
3,3,10,2,4,5,3,4,1,10
1,1,4,2,4,7,6,4,1,25
4,3,10,2,4,4,3,4,1,21
3,3,10,2,2,5,5,3,1,21
2,3,10,2,4,5,7,4,1,27
3,1,15,2,4,4,5,1,1,17
2,3,10,2,4,4,4,1,1,20
1,2,10,2,4,5,9,2,1,12
2,1,4,2,4,7,7,2,1,35
4,3,10,2,4,4,9,2,1,9
4,3,10,2,4,4,6,2,1,14
3,1,4,2,3,5,6,2,1,20
2,1,4,2,3,5,4,4,1,19
4,3,5,2,3,4,5,4,1,10
1,1,5,2,4,1,7,2,1,34
4,3,5,2,3,5,5,5,1,0
3,1,4,2,4,3,3,4,1,15
4,3,10,2,3,3,4,4,1,12
2,3,14,2,3,5,5,2,1,31
4,3,10,2,4,4,5,1,1,27
4,3,10,2,4,1,4,4,1,11
3,3,10,2,3,5,5,2,1,22
2,1,10,1,4,5,3,4,2,16
4,3,10,2,4,1,2,4,1,7
4,3,10,2,4,2,9,1,1,5
3,3,10,2,3,4,7,2,1,16
4,3,10,2,3,5,5,2,1,18
3,3,10,2,3,4,2,4,1,13
4,3,10,2,4,4,3,4,1,13
2,3,5,2,2,5,5,5,1,0
4,3,10,2,4,4,6,2,1,11
2,3,10,1,4,1,6,1,1,13
1,3,10,2,4,4,5,4,1,29
4,3,10,2,4,3,4,4,1,10
3,3,10,2,4,5,1,4,1,21
4,3,10,2,2,3,6,1,1,10
3,3,5,1,2,1,2,4,1,15
4,3,10,2,4,4,4,4,1,17
2,3,5,2,4,5,5,5,1,0
4,3,17,2,3,2,5,2,1,12
3,3,10,2,4,5,3,4,1,16
4,3,10,2,4,5,5,2,1,10
3,3,10,2,4,5,5,2,1,11
4,1,4,2,4,1,8,2,2,11
3,3,17,2,4,5,8,2,1,9
2,1,4,2,4,4,5,4,1,15
3,3,10,2,3,5,3,2,1,15
4,2,10,2,4,1,7,2,1,14
1,1,4,2,4,8,2,4,1,36
3,1,4,2,4,3,6,2,2,19
2,1,8,2,4,5,5,1,1,22
2,1,4,2,4,5,6,2,1,36
1,3,5,2,2,5,5,5,1,0
3,2,10,2,4,3,5,4,1,14
4,1,10,2,4,4,5,4,2,9
2,2,17,2,4,5,5,4,1,12
4,3,10,2,2,4,9,2,1,11
4,3,10,2,3,3,3,4,1,4
3,3,10,2,2,5,7,1,1,11
4,3,10,2,2,1,4,4,1,17
4,3,5,2,3,5,5,5,1,0
4,3,10,2,4,4,5,4,1,11
4,3,5,2,4,5,5,5,1,0
2,3,10,2,4,5,6,4,1,13
3,1,10,2,4,4,2,4,1,18
4,3,17,2,4,4,4,4,1,12
1,1,10,2,4,5,3,4,1,15
4,3,10,2,4,2,4,4,1,8
3,3,10,2,4,7,3,4,1,13
4,3,10,2,4,4,8,4,1,13
3,3,10,2,4,4,2,4,2,11
2,3,10,2,3,6,2,4,1,34
3,3,10,2,4,4,2,4,1,13
1,3,5,2,2,5,5,5,1,0
2,3,10,2,3,5,3,2,1,32
1,3,5,2,1,5,5,5,1,0
4,3,5,2,4,4,4,4,1,12
3,3,10,2,2,5,5,3,1,11
4,1,10,2,2,5,5,2,1,16
3,3,10,2,3,5,4,2,1,28
4,3,10,2,2,4,5,2,1,11
3,3,10,2,2,4,12,2,1,27
4,3,10,2,2,4,4,4,1,9
3,2,10,2,4,5,5,4,1,14
4,3,10,2,2,5,4,1,1,13
2,2,10,2,4,4,2,4,1,9
3,2,10,2,2,4,6,2,1,8
3,3,10,2,3,2,3,4,1,31
4,1,10,2,4,4,5,4,1,13
3,3,4,2,3,5,5,4,1,19
4,3,10,2,3,4,4,4,2,12
2,3,10,2,2,4,5,2,1,28
1,2,10,2,4,7,4,4,1,18
3,3,10,2,3,4,5,2,1,14
3,3,10,2,4,4,3,4,1,28
2,1,5,2,1,7,2,4,1,19
1,2,10,2,4,7,4,4,1,29
1,1,13,2,4,7,5,4,1,19
2,1,4,2,3,5,5,2,1,20
3,3,10,2,4,4,4,4,1,18
2,3,10,2,4,5,6,3,1,16
4,3,10,2,3,5,7,2,1,16
3,3,5,2,2,5,5,5,1,0
2,1,5,2,4,4,15,2,1,10
4,3,17,1,3,3,6,2,2,11
4,3,10,2,3,5,4,4,1,19
3,3,10,2,2,5,5,2,1,11
2,3,10,2,3,5,5,2,2,13
4,3,5,2,2,5,5,5,1,0
1,3,12,2,3,7,5,2,2,14
3,3,10,2,4,5,4,4,1,17
2,3,10,2,2,7,5,1,1,13
4,3,5,2,3,4,6,3,1,16
3,3,10,2,2,5,4,2,1,30
2,1,16,2,2,5,3,2,1,23
3,1,10,2,3,5,4,4,1,16
2,3,10,2,2,5,4,2,1,18
3,3,10,2,3,1,4,4,1,11
4,3,10,2,2,6,4,3,1,9
2,3,10,2,4,5,5,4,1,14
4,1,10,2,2,1,4,2,1,8
3,1,10,2,4,4,5,2,1,14
1,1,16,2,2,7,4,3,1,38
2,3,5,2,2,5,5,5,1,0
3,3,5,2,2,5,5,5,1,0
3,3,10,2,4,4,5,2,2,14
2,3,10,2,2,7,5,4,1,15
1,3,10,2,2,7,3,1,1,30
3,3,10,2,2,5,5,3,1,15
3,3,10,2,2,5,4,3,1,20
3,3,10,1,2,5,4,1,1,15
2,3,10,2,2,5,5,3,1,12
3,3,10,2,2,5,3,1,1,15
3,3,17,2,3,5,5,4,1,31
2,1,4,2,4,4,5,4,2,6
3,3,6,2,4,4,5,4,1,10
1,2,6,2,2,7,4,4,1,38
2,3,10,2,4,4,4,4,1,10
3,3,10,2,4,5,3,4,1,11
2,3,10,2,4,4,5,4,1,17
3,3,10,2,4,4,6,3,2,16
1,2,4,2,4,5,5,4,1,31
1,2,17,2,4,7,3,4,1,1
3,3,17,2,4,5,4,4,1,12
1,1,10,2,4,7,4,4,2,38
2,3,6,2,4,4,3,4,1,16
3,3,17,2,4,4,6,2,2,19
1,3,10,2,4,5,4,4,1,26
2,3,5,2,3,5,5,5,1,0
3,3,10,2,3,4,3,4,1,18
3,3,10,2,4,4,5,4,1,11
2,1,4,2,3,6,5,2,1,18
2,3,17,2,3,5,4,4,1,11
3,3,10,2,3,4,6,4,1,15
3,1,12,2,3,5,5,2,1,15
2,1,13,2,4,1,5,4,2,31
3,3,10,2,3,5,4,2,1,12
1,3,5,2,3,5,5,5,1,0
2,1,4,2,3,5,4,4,1,23
3,3,10,2,3,4,6,3,1,12
2,1,4,2,3,5,5,2,1,9
2,3,10,2,4,5,2,4,1,32
3,3,10,2,3,6,5,4,1,28
2,2,4,2,3,4,5,4,1,22
3,3,10,2,3,4,6,3,2,10
3,3,17,2,4,4,7,2,1,10
2,3,10,2,3,4,3,4,1,18
3,3,10,2,3,4,4,2,1,13
3,3,10,2,4,3,3,4,1,17
1,2,10,2,4,5,4,4,1,18
2,1,5,2,4,5,6,1,1,21
1,3,4,1,4,5,5,1,1,32
3,3,10,2,4,4,5,2,1,20
1,3,3,2,3,7,3,4,1,14
2,3,3,2,4,6,4,4,1,10
3,3,10,2,4,4,5,4,1,27
3,3,10,2,4,5,8,3,2,14
2,1,4,2,3,4,5,4,1,33
1,1,4,2,3,6,3,4,1,30
1,1,4,2,2,6,10,3,1,51
3,3,9,2,4,4,5,2,1,31
1,1,15,2,3,7,5,4,1,30
2,3,12,2,4,5,7,2,1,48
1,1,4,2,3,7,5,2,1,26
3,3,10,2,4,5,2,4,1,32
2,2,8,2,4,3,5,2,1,31
1,3,9,2,3,7,9,3,1,45
2,3,14,1,4,5,5,1,1,14
1,1,4,2,4,4,4,4,1,24
2,1,10,2,4,5,2,4,1,30
2,1,16,2,4,5,3,4,1,33
1,1,10,2,4,5,4,4,1,39
3,3,5,2,4,5,5,5,1,0
1,1,10,2,4,4,4,4,2,29
3,1,4,1,4,5,2,4,1,8
2,1,19,2,4,1,3,4,1,29
3,3,6,2,2,6,4,2,1,25
2,3,10,2,4,4,5,4,2,18
3,3,10,2,4,4,5,3,1,23
3,1,4,2,4,4,1,4,1,12
1,3,5,2,3,4,5,2,1,19
2,1,13,2,4,6,5,1,1,16
1,3,10,2,2,5,5,3,1,25
1,3,5,2,2,5,5,5,1,0
1,3,5,2,1,5,5,5,1,0
3,3,10,2,4,5,4,4,1,36
2,3,5,2,3,5,5,5,1,0
2,3,10,2,4,5,3,4,1,17
1,1,9,2,4,7,2,4,1,14
3,1,10,2,1,4,4,1,1,10
2,1,4,2,3,5,4,2,1,21
3,3,10,2,3,5,2,4,1,1
3,1,4,1,4,7,4,4,1,29
1,3,10,2,4,5,6,4,1,21
2,3,10,2,1,7,3,4,1,22
3,1,4,2,4,5,4,4,1,1
1,3,5,2,3,5,5,5,1,0
2,1,4,2,3,5,5,4,1,15
1,2,10,2,3,7,3,4,1,16
1,1,6,2,4,7,4,4,1,19
3,3,5,2,3,5,5,5,1,0
1,3,5,2,3,5,5,5,1,0
2,3,10,2,4,5,3,4,1,26
1,3,5,2,2,5,5,5,1,0
2,1,10,2,3,5,6,3,1,14
2,3,10,2,2,5,3,1,1,23
1,3,10,2,3,7,5,3,1,36
2,3,5,2,2,5,5,5,1,0
1,3,5,2,2,5,5,5,1,0
1,3,5,2,2,5,5,5,1,0
3,1,14,2,1,4,4,1,1,15
1,3,16,2,2,6,4,3,1,26
1,2,10,2,3,6,3,4,1,40
2,2,5,2,3,5,4,2,1,8
1,3,5,2,2,5,5,5,1,0
1,1,5,2,2,7,3,1,1,26
3,3,9,2,3,5,4,4,1,27
2,3,5,2,2,8,3,2,1,20
1,3,10,2,2,7,3,2,1,23
1,1,4,2,3,7,5,2,1,24
1,3,5,2,2,5,5,5,1,0
3,3,10,2,3,7,6,3,1,18
2,3,3,2,2,7,6,1,1,39
1,3,8,2,2,5,4,4,1,31
1,3,5,2,2,5,5,5,1,0
1,3,5,2,2,5,5,5,1,0
2,3,10,2,2,7,3,4,1,28
1,3,9,2,2,8,3,1,1,38
1,3,5,2,2,5,5,5,1,0
1,3,5,2,2,5,5,5,1,0
1,3,5,2,2,5,5,5,1,0
2,3,10,2,3,5,5,3,1,34
1,3,12,2,3,5,4,2,1,26
1,3,17,2,3,9,4,2,1,45
2,3,10,2,2,5,4,3,1,15
3,3,10,2,3,6,5,2,1,23
1,3,10,2,2,5,3,1,1,47
2,3,10,2,2,5,4,3,1,16
1,2,10,2,4,5,10,3,1,19
2,1,4,2,2,5,4,3,1,27
1,3,5,2,2,7,4,3,1,22
2,1,4,2,2,7,3,2,1,21
1,1,4,2,3,6,5,2,1,30
1,3,5,2,2,5,5,5,1,0
2,3,10,2,2,5,5,1,1,11
3,3,10,2,2,4,5,1,1,15
2,1,13,2,2,4,4,1,1,19
2,3,10,2,2,4,5,2,1,12
3,2,10,2,2,6,3,1,1,30
1,1,4,2,2,7,8,3,1,36
1,1,8,2,2,5,3,2,1,19
1,3,5,2,2,5,4,3,1,28
2,3,5,2,2,5,5,5,1,0
3,3,10,2,2,7,4,3,1,14
2,3,10,2,2,9,5,1,1,16
1,1,4,2,2,7,8,3,1,32
2,1,10,2,2,5,4,1,1,17
3,1,10,2,4,5,2,4,1,12
1,1,4,2,4,5,6,4,1,35
1,2,6,2,4,5,4,4,1,24
2,1,10,2,2,7,5,1,1,43
3,3,10,2,4,4,4,4,2,20
2,3,10,2,4,5,4,4,1,27
1,1,10,2,4,5,5,4,1,39
2,1,15,2,4,5,2,4,1,17
1,3,10,2,4,5,4,4,1,26
1,1,4,2,4,5,5,4,1,39
1,3,10,2,4,5,4,4,1,21
2,3,10,2,4,5,4,4,1,15
1,1,13,2,4,5,2,4,1,15
2,3,10,2,4,5,4,4,1,13
1,3,5,2,4,5,5,5,1,0
1,3,10,2,4,7,4,4,2,30
2,1,4,2,4,7,4,4,1,16
1,3,5,2,4,5,5,5,1,0
2,3,9,2,4,8,2,4,1,35
1,3,8,2,4,7,3,4,1,24
2,1,4,2,4,5,5,4,1,28
1,1,10,2,4,7,8,4,1,4
3,1,4,2,4,5,2,4,1,18
1,1,4,2,4,5,4,4,1,46
1,3,10,2,4,7,2,4,1,33
2,3,9,2,4,6,4,4,1,34
1,3,5,2,4,5,5,5,1,0
1,3,10,2,3,7,4,4,2,25
1,1,10,2,3,7,4,4,1,42
2,1,4,2,4,5,5,4,1,44
2,1,10,2,4,5,4,4,1,30
1,1,5,2,3,5,4,4,1,15
2,3,5,2,3,5,5,5,1,0
1,2,4,2,3,7,4,2,1,29
1,1,13,1,4,5,4,4,1,20
2,1,10,2,4,8,4,4,1,38
1,1,10,2,4,5,3,4,1,18
1,3,5,2,3,5,5,5,1,0
3,3,5,2,3,5,5,5,1,0
2,1,4,2,3,7,5,2,1,13
1,3,10,2,4,5,5,4,1,44
1,3,4,2,4,8,5,2,1,22
1,1,10,2,4,7,3,4,1,19
1,3,10,2,3,7,5,2,1,25
2,1,10,2,4,6,12,2,1,25
1,1,4,2,2,7,4,2,1,19
3,3,5,2,3,5,5,5,1,0
2,3,10,2,3,5,4,4,1,19
1,3,10,2,3,7,4,2,1,38
1,1,5,2,3,8,4,2,1,19
1,1,15,2,3,8,4,3,1,33
1,1,8,2,3,5,4,2,1,25
2,3,5,2,3,5,5,5,1,0
1,3,5,2,3,5,5,5,1,0
2,3,10,2,4,5,9,2,1,21
2,1,10,2,3,6,3,4,2,26
1,3,5,2,3,5,5,5,1,0
3,3,16,2,4,2,6,1,1,10
2,2,10,2,3,4,5,4,1,18
2,3,12,2,3,7,3,2,1,35
1,1,5,2,3,7,4,4,1,24
3,1,10,2,4,5,4,4,1,12
2,3,10,2,3,6,4,2,1,31
3,1,10,2,3,5,4,3,1,41
2,3,10,2,3,5,6,2,1,24
2,3,5,2,3,5,5,5,1,0
1,1,4,2,3,5,4,2,1,38
2,3,10,2,3,5,3,2,1,16
1,1,4,2,3,7,4,2,2,17
1,1,4,2,3,7,8,1,1,38
1,1,4,2,3,7,4,2,1,32
1,1,4,2,3,7,7,4,1,37
2,1,4,2,3,5,5,2,1,16
1,2,4,2,2,6,3,2,2,21
2,1,4,2,3,7,7,2,1,20
1,3,10,2,4,8,6,2,1,45
1,1,13,2,3,7,4,2,1,33
2,1,5,2,2,3,4,3,1,17
1,3,5,2,3,4,6,2,1,26
1,1,5,2,4,7,4,4,1,32
1,3,10,2,3,8,4,2,2,25
2,3,5,2,3,5,5,5,1,0
3,3,5,2,3,5,5,5,1,0
2,1,4,2,2,8,4,4,1,18
1,3,12,2,3,5,6,2,1,13
1,1,10,2,3,7,5,3,1,23
2,1,10,2,2,7,3,1,1,24
3,3,10,2,4,5,4,2,2,12
1,1,4,2,4,5,7,4,1,15
2,3,10,2,4,5,5,2,1,27
1,1,10,2,3,7,6,4,1,24
3,3,10,2,4,4,4,1,1,21
2,1,10,2,4,5,2,4,2,12
1,1,4,2,4,5,4,4,1,21
2,1,4,2,4,7,4,4,1,1
1,1,10,2,2,7,5,1,1,50
1,3,10,2,4,5,3,4,1,26
2,3,10,2,4,5,2,4,1,30
1,3,5,2,4,5,5,5,1,0
1,3,10,2,4,5,5,4,1,22
2,3,5,2,4,5,5,5,1,0
1,3,5,2,4,5,5,5,1,0
1,2,10,2,4,4,5,1,1,32
3,3,10,2,4,5,2,4,1,28
1,3,10,2,4,5,6,2,2,38
2,3,3,2,4,5,6,4,1,26
1,1,10,2,4,5,4,4,1,26
1,1,10,2,4,5,5,4,1,28
1,3,10,2,4,5,5,3,1,41
2,1,12,2,3,7,6,3,2,44
1,1,10,2,4,5,4,4,1,35
3,1,6,2,4,5,2,4,1,12
1,3,10,2,4,7,5,4,1,35
2,1,4,2,4,5,6,3,1,23
1,3,6,1,4,5,5,2,1,35
1,3,10,2,4,7,6,3,1,35
1,3,5,2,4,5,5,5,1,0
2,3,10,2,4,5,3,4,1,37
1,1,4,2,4,5,2,4,1,16
1,3,10,1,4,5,5,3,1,22
1,1,4,2,4,4,9,1,1,36
1,1,4,2,2,7,4,2,1,49
1,3,5,2,4,5,5,5,1,0
3,1,10,2,4,5,7,2,1,15
1,3,10,2,4,5,3,4,1,22
2,1,4,2,4,6,3,4,1,17
1,3,5,2,4,6,3,4,1,27
1,1,10,2,4,5,2,4,1,25
2,1,4,2,4,5,4,4,1,31
3,1,4,2,4,4,3,4,1,19
2,3,10,2,4,5,6,3,1,23
2,3,5,2,4,4,4,4,1,31
3,3,17,2,4,1,7,2,1,26
2,1,10,2,4,8,2,4,1,21
2,1,4,2,4,5,5,4,1,48
2,3,10,2,4,5,3,4,1,40
3,1,10,2,4,5,2,4,1,29
2,3,10,2,4,3,5,1,1,38
2,3,10,2,4,4,6,4,1,13
3,1,10,2,4,5,5,4,1,19
2,1,10,2,4,4,3,4,1,25
2,3,10,2,4,5,5,4,1,15
3,3,10,2,3,5,4,4,1,29
3,3,17,2,4,4,9,4,1,13
2,1,4,2,4,5,2,4,2,20
3,3,10,2,4,4,6,4,1,15
