Avg. Price,Pur_Vol_No_Promo-%,Pur_Vol_Promo_6_%,Pur_Vol_Other_Promo_%,PropCat_5,PropCat_6,PropCat_7,PropCat_8,PropCat_12,PropCat_15
14.39,96.2,0.8,3,13.5,21.5,19.6,20.7,3.4,16.3
6.27,89.4,0,10.6,2.1,0,0,4.3,0,0
11.56,100,0,0,76.9,0,0,0,0,0
6.86,98.5,1.5,0,23.4,1.1,2.2,2.2,0,13.9
10.22,80.1,19.3,0.6,74,0,3.6,11.3,0.6,3.4
5.81,100,0,0,0,1.8,0,0,0,0
12.18,90.2,9.8,0,60.9,0,0,0,5.5,0
6.99,90.2,2.9,6.9,7.4,3.2,0,2.7,0.5,1.3
9.14,100,0,0,69.5,0,2.1,9.9,0,0
5.71,100,0,0,0.8,3.6,0,0,0,0
9.67,95,0,5,27.9,37,0,0,0,1.7
9.12,94,6,0,39.9,4.4,37.5,1.1,0,6.5
7.65,97.2,0,2.8,6.9,9.1,0.8,0.6,2.4,0
6.02,100,0,0,0,0.7,3.7,0,0,0
10.31,100,0,0,92.4,0,0,0,0,0
11.76,100,0,0,38.1,6.2,37.6,0,0,0
7.21,100,0,0,0,2.2,0,0,5.1,0
8.05,89.1,10.9,0,31.2,2.6,5.6,3.9,0.4,10.3
11.91,97.2,0.9,1.8,17.9,27.4,17.3,9.4,0,0
8.32,100,0,0,100,0,0,0,0,0
9.89,100,0,0,0,0,93.1,0,0,0
10.37,97.5,2.5,0,66.9,0,0,13.9,0,1.1
8.55,86.3,5.6,8.1,49.4,22.2,3.5,14.3,0,0
5.91,95.4,0,4.6,3.1,0,0,0,0.6,0
11.44,73.2,4,22.8,86.6,0,0,0,0,0
7.72,100,0,0,56.6,6.1,0,0,0,0
13.31,88.7,9.7,1.6,40.3,30.6,19.4,0,0,0
7.76,100,0,0,0,2.7,0,2.7,0,61.8
6.95,94.5,0,5.5,24.2,0,0,0,0,0
12.37,97.9,2.1,0,29.2,56.1,1.4,0,4.9,0
7.55,100,0,0,76.9,0,0,0,1.1,0
12.25,100,0,0,0,86.2,0,0,0,0
8.91,100,0,0,23.7,4.3,1,2.3,0,1.9
5.7,95.8,0,4.2,0,0,0,0,0,0
16.79,78.6,0,21.4,4.9,91.2,0,1.1,0,2.8
10.57,50,0,50,78.6,0,21.4,0,0,0
9.54,100,0,0,66.2,1.5,0,0,0,0
9.61,73.8,26.2,0,63.1,0,0,27.5,0.7,7
10.46,83.6,0,16.4,93,0,4.6,0,0,0
24.67,100,0,0,0,0,0,0,0,0
6.47,85.9,1.9,12.2,14.4,3.8,2.4,0,0,0
20.61,100,0,0,10.8,14.4,8.5,0,0,0
7.68,94.1,5.9,0,59.3,1.2,2.4,0,0,0
6.44,100,0,0,0,0,3.3,0,0,0
15.89,100,0,0,5.1,91.4,0,2.4,0,0
14.2,97.2,0,2.8,23,61.8,0,1.4,7.3,3.6
10.98,93.1,4.6,2.3,19.1,39,40.3,0,0,0
6.04,100,0,0,0,6.3,0,0,0,0
11.12,100,0,0,69.1,20.3,6.3,3,0,0
7.23,96.3,0,3.7,0,14,0,0,0,0
10.32,97.3,0,2.7,5.3,0,85.4,2.7,0,1.3
9.25,100,0,0,23.7,44.1,0,0,0,0
9.62,90.7,0,9.3,44.1,3.7,19.6,0,0,3.7
7.94,97.6,0,2.4,48.3,0,0,0,0,0
9.17,74.1,23.4,2.5,72.3,0,5.1,6.9,0,4.6
8.99,94.9,5.1,0,54.8,2.5,8.3,0,0,2.5
9.71,89.8,10.2,0,79.7,9.7,0,5.3,0,0
15.85,94.5,1.9,3.6,15.1,51.5,5,0.8,1.2,0.8
10.3,94.8,0,5.2,89.1,0,7,0,0,0
11.09,90.6,5,4.4,39.8,2.5,42.3,5.6,0,0
8.39,78.4,13.3,8.3,57,0,0,5.3,0,7
6.35,100,0,0,16.1,0,0,0,0,0
9.61,100,0,0,44.5,0,9.7,0,0.5,0
10.44,100,0,0,40.2,27.9,0,14,0,0
7.86,48.5,41.8,9.8,57.7,2.6,0,0,0,0
9.51,63.5,36.5,0,72,5.7,0,9.6,0,0
16.02,97.7,2.3,0,7.3,28.9,20.3,43.5,0,0
10.83,97.9,2.1,0,18.3,4.2,17.8,2.6,0,0
6,98,0,2,0,0,0,0,0,0
10.65,94.7,4.7,0.6,33.1,3,19.3,9,0,0
11.1,97.7,0,2.3,48,33.1,0,0.8,0,0
8.95,72.6,27.4,0,67.7,0,0,23.8,0,0
13.55,97.1,0,2.9,27.9,23.4,15.3,1.9,0,0
10.51,100,0,0,95.5,0,1,0,0,3.5
16.77,100,0,0,9.8,37.7,0,2.1,0,0
12.47,97.2,2,0.9,82.1,0,1,14.1,0,0
7.57,83.3,2,14.7,3.2,5.8,0,0,0,0
10.75,99,1,0,96.1,0,0,0.6,0,0
13.44,98,0,2,82.3,0,14.3,0,0,0
13.56,95.1,4.9,0,47.7,0.9,0,26.4,0,0
12.28,94.2,5,0.8,7.8,2.4,88.2,0.8,0,0
9.99,92.2,7.8,0,56,3.5,16.8,3.5,0,0
12.71,100,0,0,18.4,61.6,1.3,9.6,0.6,0.4
19.68,94.1,5.9,0,91.4,0,0,0,0,0
12.32,87,12,1,54.8,3,0,21.1,0,0
5.67,62.5,0,37.5,0,0,0,0,0,0
30.93,76.6,18.4,4.9,10.2,22.1,0,0,0,0
8.92,96.5,3.5,0,9.9,67.8,0,0,0,0
10.46,91.7,3.1,5.2,36.7,11.1,6.2,4.2,2.1,4.8
10.95,100,0,0,76.2,2,21.8,0,0,0
7.24,83.3,16.7,0,100,0,0,0,0,0
7.52,100,0,0,100,0,0,0,0,0
6.26,67,14.4,18.6,34.3,0,0,0,0,0
10.44,100,0,0,98.9,0,0,0,0,0
7.66,100,0,0,36.9,4.1,0,0,0,0
21.45,98.2,0,1.8,5.6,45.7,0,0,0,0
6.27,100,0,0,5.7,5.7,0,0,0,0
7.68,100,0,0,7.4,28.8,1.4,1.1,0,1.3
8.59,59.7,37.2,3.1,96.1,1.6,0.8,1.6,0,0
11.3,98.4,1.6,0,61,4.9,26.7,4.9,0,1.6
12.6,78.8,19.6,1.6,9.9,0,38.6,51.5,0,0
11.33,100,0,0,66.7,0,0,0,0,0
10.67,100,0,0,100,0,0,0,0,0
5.67,88.6,0,11.4,0,0,0,0,0,0
7.87,82.3,3.4,14.3,4,4.2,1.3,0.8,0,0
11.43,85.3,5.6,9.1,79.6,16.8,1.2,0,0,1.3
10.8,88.8,5.2,6,4.6,2.1,44.5,8.7,0,0
19.48,83.7,11.4,4.9,72.3,1.6,0,0,0,0
6.28,100,0,0,0,6.8,0,0,0,0
12.54,90.4,7.6,1.9,23.9,6.7,0,0,0,0
7.01,76.1,17.6,6.2,32,1.3,2.1,0.8,0.3,6.6
7.03,83.5,14.8,1.7,42.7,2.6,0,0,0,0
5.73,85.4,0,14.6,0,0,0.3,0,0,0
13.33,94.3,0,5.7,91.1,1.1,0,0,1.1,0
11.97,93.4,6.6,0,23.6,63.2,5.5,0,2.8,0
10.62,90.9,0,9.1,96.7,0,2.3,0,0,0
11.77,93.9,3.6,2.4,32.8,0,3.6,42.9,1.4,0.6
10.61,91.8,3.6,4.6,73.5,0,0,0.5,1,0
10.97,100,0,0,2.2,1.5,58.2,0,0,0
10.87,84.1,0,15.9,78.8,0.7,0,0.4,0.7,0
10.93,95.2,3.2,1.6,73.3,0,24,0,0,1.6
8.29,90.2,9.8,0,90.7,2.9,0,4.6,0,0.5
13.5,92.3,7.7,0,10.3,41.6,3.9,38.7,0,0
12.91,100,0,0,17.5,32.9,0,10.5,1.3,0
5.64,100,0,0,0,0,0,0,0,0
11.04,91.6,8.4,0,8.4,6.1,0,8.4,0,0
11.01,81.3,4.9,13.8,94.9,0,0,0,0,0.6
10.48,95.4,4.6,0,100,0,0,0,0,0
6.44,91,0,9,0,13.2,0,0,0,0
7.32,100,0,0,0,25,0,0,0,0
10.88,92.4,7.6,0,70.5,0,0,0,0,0
11.31,100,0,0,24.9,61.5,0,13.6,0,0
10.42,100,0,0,92.1,0,0,0,0,0
12.83,94.5,5.5,0,0,42.2,45.4,0,3.7,0
12.75,76.9,23.1,0,57.5,4.4,4.4,2.9,4.4,0
12.07,90.8,3,6.2,44.2,18,6.7,10.6,0.7,0
10.53,100,0,0,97.9,2.1,0,0,0,0
7.5,86.1,11.6,2.2,86.8,0,0,0,0,0
9.37,91.7,5.7,2.6,42.7,1.5,0,0,0,0
10.7,100,0,0,99.1,0,0,0,0,0
13.54,72.3,22.2,5.5,49.9,2.5,15.6,6.3,0,0
8.21,85.3,14.7,0,82.5,17.5,0,0,0,0
15.29,93.3,6.7,0,21.7,37.2,10.6,5.9,2.6,0
10.5,100,0,0,100,0,0,0,0,0
10.77,100,0,0,93.5,5.5,0,0,0,0
10,95.8,0,4.2,51.1,4.2,3,1.8,0,0
11.01,100,0,0,41.9,1.9,28.8,9.6,0,0
10.77,93,4.1,2.9,35.6,4.1,15.1,2.3,4.1,0
10.94,80.8,14.5,4.7,69,0,1.6,7.1,0,0
15.23,87.7,6.6,5.7,37,9.4,43.5,0,0,0
10.76,95.5,0,4.5,95.1,0,0,0.9,0,0
11.47,100,0,0,60.4,0,0,0,0,0
7.73,100,0,0,80.1,0,0,0,0,0
7.87,89.1,0,10.9,51.4,21.7,0,2.2,0,0
7.51,100,0,0,97.8,0,0,0,0,0
5.67,100,0,0,0,0,0,0,0,0
12.71,92.3,1.9,5.8,80.1,3.9,0,0,0,0
8.09,100,0,0,61.4,11.4,4.3,0,0,0
10.48,100,0,0,45.1,46.9,0,0,0,8
10.44,94.3,0,5.7,28.4,30.9,0,0,1.7,0
11.92,86,9.1,4.9,42.3,1.6,15.1,0,0,0
11.76,99.2,0,0.8,95.1,2.4,0,0,0,0
10.95,87.3,4.2,8.5,50.5,0,0,45.3,0,0
11.15,75.8,22.9,1.3,58.6,5.7,0.6,13.4,2.5,11.9
10.91,96.6,0,3.4,94.1,1.3,2.5,0,0.4,0
10.24,93.6,1.5,4.9,37.6,46.3,0,0,0,0
15.65,100,0,0,68.4,0,31.6,0,0,0
9.98,100,0,0,81.3,3.8,0,0,0,0
16.75,79.7,18.8,1.6,51.6,0,1.2,7,0,1.2
7.35,97.6,2.4,0,21.9,3.2,1.2,1.8,0,2
18.51,96.5,0,3.5,19.1,13.3,2.8,2.8,0,8.4
6.89,96.6,0,3.4,61.3,0,0,0,0,3.4
12.52,91.6,4.5,3.9,71.5,7.9,0,2.2,0,0.2
7.04,90.7,0,9.3,20.2,4.7,0,0.4,0.4,0
14.08,94.4,0,5.6,4.2,67.6,0,0,0,0
11.43,87.2,12.8,0,27.4,64.1,1.7,6.8,0,0
9.76,100,0,0,9.4,0,89.1,0,0,0
9.76,100,0,0,26.4,0,70.9,0,0,2.7
13.09,94.3,2.9,2.9,54.3,10.4,3.2,24.4,0,0
20.1,93.1,6.9,0,60.6,13,0,0,0,6.5
10.5,0,0,100,100,0,0,0,0,0
8.57,89.8,6.8,3.4,2.3,10.6,1.1,0,0,0
9.41,91.7,2.6,5.7,47.4,6.7,3.7,1.8,0,0
6.68,100,0,0,5.5,5.5,0,0,0,0
9.77,95.5,0,4.5,0,0.7,99.3,0,0,0
7.41,98.7,0,1.3,19.3,16.4,0,0,0,0
7.73,96.6,3.4,0,4.1,20.3,0,0,0,0
7.74,95.8,0,4.2,3,12.9,1.8,0,0.8,0.6
6.67,100,0,0,14.4,0.7,0.7,0,0.7,0
5.67,100,0,0,0,0,0,0,0,0
18.67,100,0,0,0,0,0,0,0,0
12.38,92.7,7.3,0,69.9,0,3.7,2.2,0,3.3
12.93,91.6,0,8.4,40,0,13.4,32.9,0,0
8.14,77.3,22.7,0,70.4,0,0,0,0,0
12.58,79.7,6.3,14,76.2,2.1,0,0,0,0
9.29,80.4,3.1,16.5,7.7,1,3.4,2.1,0,0
8.82,100,0,0,26.4,6.2,9.1,6.2,0,9.9
6.53,100,0,0,10.2,13.6,0,0,0,0
12.82,100,0,0,0,0,100,0,0,0
13,100,0,0,37.8,0,62.2,0,0,0
12.67,96.4,0,3.6,77.1,0,4.8,18.1,0,0
10.17,100,0,0,100,0,0,0,0,0
13.8,69.6,26.1,4.3,42.2,7.9,3,36.3,1,3.3
8.58,100,0,0,12,52,0,0,0,0
11.51,76.5,9.7,13.7,44,5.3,28.5,6.3,1.8,0
10.95,97.9,0,2.1,93.3,5.2,1.6,0,0,0
11.01,100,0,0,94.6,2.3,3.1,0,0,0
11.53,100,0,0,71.9,11.9,0,0,0,0
7.98,69.6,26.9,3.5,32,0,0.6,0,0,0
11.09,100,0,0,82.4,3.2,0,12.9,0,0
10.2,91,9,0,39.8,0,2.2,15.7,0,0
17.9,89.6,0,10.4,2,97.1,0.9,0,0,0
10.41,100,0,0,92.1,0,5.7,0,0,0
12.33,86,14,0,28,3.6,13.7,0,0,0
11.11,96,4,0,93.2,3.6,0.6,0,0,0
11.32,90.2,8.2,1.7,32.6,7,0.5,9.8,0,45.4
11.35,100,0,0,97,0,1.3,0,0,0
9.55,98.5,1.5,0,41.7,30.8,26.3,0,0,0
10.11,87.3,3.4,9.3,89,0,0,0,0,0
8.61,100,0,0,39.1,19.7,4.1,1.2,0,0
21.39,100,0,0,40.7,8.3,0,5,0,0
12.49,98.1,0,1.9,48.5,16.6,1.9,2.6,0,0
10.91,100,0,0,76.7,4,19.3,0,0,0
10.74,100,0,0,90.3,0,0,9.7,0,0
11.84,83.8,16.2,0,45.7,34.4,0,19.9,0,0
10.19,96.3,2.2,1.5,2.2,3.8,76.4,0,0,0
11.65,75,21.3,3.7,38.5,0,0,59,0,0
13.28,93.7,6.3,0,42.9,1.4,3.6,32.2,0,1.2
13.08,98.2,1.8,0,12.8,10.7,60,1.8,0,0
10.32,100,0,0,92.8,0,0,0,0,0
11.56,66.7,0,33.3,33.3,66.7,0,0,0,0
11.19,95.4,4.6,0,94.8,0,0,0,0,0
7.74,91.8,4.4,3.8,81.9,3.3,0,0,0,0
7.8,81.5,9,9.5,88.7,2,1.8,0,0,1.4
10.57,100,0,0,87.4,2.1,7.4,0,0,0
9.8,98.8,1.2,0,12.1,1.6,30.7,0,0,47.3
10.14,97.9,2.1,0,75.1,8,8.6,4,0,0
8.86,93.5,1.8,4.6,15.7,36.6,3.1,3.7,0,0
11.25,100,0,0,86.3,6.3,1.4,0,0,0
10.71,96.2,3.8,0,33.1,32.2,7.3,1.1,0.7,0
15.52,94.5,0,5.5,6.7,82.5,1.2,0,0,1.2
11.54,82.3,17.7,0,19.7,6.6,33.5,6.3,0,22.1
14.72,93.1,6.9,0,4.6,24.2,15.8,50.8,0,0
10.78,98,0,2,70,0,7.5,0,0,0
10.55,80.8,15.1,4.1,61.1,5.5,8.2,23.3,0,0
10.07,100,0,0,70.6,0,9.8,19.6,0,0
10.61,100,0,0,90,0,0,0.5,0.5,0
6.7,83.2,0,16.8,8.6,6,5,0.5,0,0
10.96,96.9,0,3.1,69.5,11.6,6.9,0,0,0
10.5,82.9,12.6,4.5,78.6,1.3,4.5,0.8,0.8,0
17.76,100,0,0,64.6,9.7,1.4,0,2.1,0
15.48,100,0,0,52.4,21.2,5.3,15.9,0,0
12.23,81.6,0,18.4,69,0,5.7,20.7,0,0
8.11,82.5,17.5,0,89.5,0,0,3.5,0,0
11.4,100,0,0,29.2,47.9,3.5,2.1,3.8,0
16.1,95.2,4.8,0,47.9,27.1,9.6,14.4,0,1.1
9.94,100,0,0,7.9,13.1,75.1,0,0,0
13.22,81.8,11.4,6.8,56.1,0,4.9,1.6,3.3,14.9
10.52,100,0,0,44.4,0,0,0,0,0
12.85,80.5,19.5,0,82.9,0,0,7.3,0,0
15.55,89.4,1.8,8.8,0,0,76.5,11.4,12,0
16.8,98.2,1.8,0,37.6,47.5,0,11.9,0,1.8
11.52,61.6,36.5,1.9,47.1,2.6,12.9,1.9,0,0
10.16,96,1.7,2.3,1.5,0,22,2.3,0,63
17.61,89.7,0,10.3,1.5,0.7,59.7,0,1.5,0
9.53,97.7,0.6,1.6,55.7,7.3,5.3,2.6,0,0
12.8,100,0,0,53.4,0,6.9,27.7,0.8,0
9.57,94.9,5.1,0,66,0,1.2,7.9,0,22.5
9.54,95.4,0,4.6,84.7,2.1,0,11.1,0,0
11.07,85.5,13.7,0.8,28.4,21.1,4.6,0.8,0,7.7
15.06,100,0,0,0,95.8,0,0,0,0
7.77,80.9,15.2,4,44,6.4,0,9.5,0,0
19.69,68.7,27.1,4.2,37.7,0,9.5,20.2,0,2.4
10.72,100,0,0,93.6,1,5.5,0,0,0
8.78,95.2,0,4.8,19.5,47,2.3,1.3,0,0.3
14.99,86,14,0,82,0,0,6.5,0,0
7.15,100,0,0,30.8,0,0,0,0,0
11.31,97.9,0,2.1,34.7,6.4,53.2,0,2.6,0
11.6,93.6,0,6.4,0,45.9,0.6,0,0,0
10.49,95.4,4.6,0,79.3,0,1.6,17.4,1.1,0
9.51,95.5,0,4.5,0,0,100,0,0,0
11.21,98.8,0,1.2,73.5,2.9,7,0.9,0,0
10.73,100,0,0,77,0,3,0,0,0
10.43,91.8,8.2,0,27.5,39.6,3.3,4.1,0,0
11.85,83.5,16.5,0,9.3,18.2,15.9,6.2,0,32.6
11.09,100,0,0,72.7,0,0,0,0,0
10.59,67.8,13.8,18.4,57.3,0.8,19.2,6.5,0.8,13
10.25,81,6.8,12.2,39.3,25.1,3.5,5,0,1.8
12.04,83.4,12.3,4.3,70.2,1.6,1.6,6.4,0,0
14.99,93.4,6.6,0,16.4,0,7.7,75.9,0,0
10.09,94.7,0,5.3,2.8,77.7,2.1,0,0,0
15.66,97.7,2.3,0,28,0,0,72,0,0
11.11,97.1,2.9,0,83.4,5.9,0,0,0,0
7.16,100,0,0,99.2,0.8,0,0,0,0
17.42,95.5,4.5,0,9,0,0,30.2,0,9
12.23,95.1,1.5,3.4,54.2,0,43.1,0,1.7,0
10.48,46.7,53.3,0,78.7,0,0,0,0,0
15.81,58.9,33.6,7.5,3,5.8,0.6,48.4,0,22.5
11.45,97.2,0,2.8,9.4,0,70.7,0,0,0
10.83,84,13.4,2.6,30.7,8.7,6.8,5.1,0,0
12.64,94,6,0,66.8,23.2,1,5.2,0,0
15.66,100,0,0,87.5,4.8,0,3.1,0,0
15.96,100,0,0,74.5,0,0,0,0,0
13.16,100,0,0,32.5,10.4,23.4,0,0,0
9.81,95.6,4.4,0,6.7,0,93.3,0,0,0
13.71,94.1,4.7,1.2,60.6,0.6,1,20.6,0,0
13.29,90.6,0,9.4,7.6,39.5,35.5,4,0,0
16.02,81.5,15.1,3.4,24.9,21.8,7.4,22.8,4.4,3.4
12.83,90.4,9.6,0,68.4,3.8,12.3,3.8,0,8.5
21.89,83.6,0,16.4,49.9,0,0,0,0,0.6
13.85,81.5,15.1,3.5,46.5,9.8,9.3,18.5,0,2.9
13.96,100,0,0,56.2,27.4,0,8,1.3,0
14.8,94.7,5.3,0,68,7.1,5.3,0,0,0
12.68,94,3.4,2.6,78.9,2.6,0,9.1,0.4,0
13.15,88.8,2,9.3,5.3,0.7,85,3.3,0,0
13.5,100,0,0,0,11.4,34.8,23.3,12.5,4.6
15.37,49.3,12.5,38.2,19.1,18.3,0,47.9,0,6.9
12.17,39.3,37.1,23.6,59.6,11.8,8.4,0,0,0
13.35,74.4,6.8,18.8,43.1,31.1,1,0,0,7.2
17.17,96.4,3.6,0,11.3,7.3,1.2,59.1,0,0
8,100,0,0,80,0,20,0,0,0
11.88,96.3,0,3.7,52.6,29.2,0,1.8,0,0
14.5,89.3,5.4,5.4,41.1,5.4,2.7,45.5,0,0
11.41,100,0,0,82.3,0,4.3,0,3.2,0
12.9,93.6,2.3,4.1,76.3,0,2.3,4.6,0,0
7.34,96.8,0,3.2,7.1,34.2,0,0,0,0
11.14,79.4,16.3,4.3,61.2,20.1,14.4,0,4.3,0
10.85,97.7,0,2.3,67.1,0,0,10.4,1.7,0
16.63,96.7,0,3.3,31.3,0,0,6.9,0,26.1
11.78,91.3,1,7.7,50.2,19.1,24.5,0,0.4,0
12.2,84.1,6.5,9.4,78.3,4.3,8,5.1,0.7,1.2
13.2,100,0,0,88,0,0,12,0,0
15.38,100,0,0,0,69.2,30.8,0,0,0
13.18,76.2,5.5,18.4,60.9,1.1,11.7,8.9,0,1.1
19.22,86.7,8,5.3,14,0,0,69.8,0,0
12.84,100,0,0,2.4,81.9,0.8,10.9,0,0
16.94,97.1,0,2.9,47.4,0,17.5,31.2,0,0
10.1,86.6,13.4,0,37,7.2,0,13.4,0,0
11.15,90.9,9.1,0,64.4,1.9,0,2.5,0,1.7
11.58,95.3,4.7,0,62.6,7,0,3.5,0,0
12.77,87.8,12.2,0,33.6,17.1,2.1,3.1,0,30.4
13.49,92.9,4.1,2.9,19.2,0.4,78.6,0.9,0,0
18.55,100,0,0,0,20.7,0.9,49.2,0,0
29.48,97.3,2.7,0,94,0,6,0,0,0
15.27,88,12,0,72,0,4,6,0,0
13.01,66.7,31.7,1.7,59.3,0,1,23.2,0,3
26.41,100,0,0,51.5,0,0,0,0,16.9
19.04,100,0,0,46.2,0,0,53.8,0,0
13.26,86,14,0,41.9,0,0,58.1,0,0
19.25,100,0,0,75.7,0,0,0,0,0
10.8,85.3,0,14.7,98.9,0,0,0,0,0
11.78,100,0,0,44.4,0,0,55.6,0,0
12.87,82.5,7.6,9.9,13.2,14.2,61.5,0,0,4.3
11.57,95,5,0,71.8,6.4,3.1,0,2.3,0
16.83,89.5,0,10.5,58,1.3,0,0,18.3,2.8
15.43,83.5,16.5,0,12.3,0,0,74.7,8.4,0
13.25,84.4,9.4,6.3,17.2,34.4,0,0,9.4,28.1
17.13,91,9,0,23.9,13.4,0,26.9,29.9,0
10.38,88.4,0,11.6,97.6,2.4,0,0,0,0
14.69,84.7,15.3,0,31.6,6.8,0,6.8,3.7,4.2
11.37,88.5,11.5,0,55.6,9.2,25.3,6.1,0,0.8
11.96,87.9,12.1,0,51.6,36.3,0,7.3,0,4.8
10,100,0,0,0,0,100,0,0,0
16.78,84.3,14,1.7,28.8,0,0,26.3,20.8,0
10.99,92.6,7.4,0,81.5,0,11.4,1.9,0,0
16.56,95.5,2.6,1.9,25.6,7.7,0,59.9,6.7,0
16.94,75.9,24.1,0,61.4,0,0,10.8,0,0
13.45,94.7,1.8,3.5,65.2,7.9,2.6,17.5,0,0
15.7,100,0,0,55.6,0,44.4,0,0,0
10.21,100,0,0,81.4,0.7,8.1,2.7,0,1.8
12.89,96.5,3.5,0,61.2,21.5,2,13.5,0,0
10.73,95.6,3.7,0.7,57.2,27.8,0,0,0,0
11.53,93.2,6.8,0,26.5,11.4,22.7,39.4,0,0
13.33,100,0,0,0,0,100,0,0,0
13.4,94.4,5.6,0,11.9,0,3.8,9.4,0,0
13.96,91.1,8.9,0,59.4,16.8,0,20.8,0,0
14.31,100,0,0,0,41.2,13.1,7.2,0,2.7
12.74,32.7,63.6,3.7,23.5,1.4,1.4,58.1,1.4,3.2
22.23,100,0,0,51.1,6.7,8.1,0,0,0
15.66,92.6,2.6,4.7,18.8,27.9,0,34.4,0,0
12.29,100,0,0,90.5,0,1.6,0,0,0
13.79,100,0,0,1.6,0,0,44.5,0,0
8.27,90.6,9.4,0,89,0,0,0,0,0
11.06,89.8,6,4.1,91.7,5.9,0,1,1.4,0
17.72,88.8,11.2,0,62.1,4.5,0,0,0,0
15.34,100,0,0,12.5,0,0,0,3.9,0
9.87,100,0,0,0,0,88.6,0,0,0
14.13,84,16,0,21.8,10.9,3.4,8.6,0.6,51.3
14.54,100,0,0,48.5,8.4,10.7,15,0,0
10.95,100,0,0,98.5,0,0,0,0,0
15.03,100,0,0,79.3,0,13.5,5.8,0,0
10.5,100,0,0,100,0,0,0,0,0
15.23,96.3,3.7,0,5.8,0,0,77.3,5,0
11.01,92.3,5.4,2.3,43.5,9.6,16.5,8.1,2.3,0
33.33,100,0,0,12.7,0,0,3.6,0,0
11.93,79.8,0,20.2,0,34.8,62.8,0,0,0
12.79,91.7,3.1,5.2,46.9,8.7,37.2,7.3,0,0
11.05,100,0,0,30.8,0,63,4.1,2.1,0
14.3,100,0,0,78,5.6,4.3,10.5,0,0
9.77,97.2,2.8,0,97.2,0,0,2.8,0,0
11.11,87,13,0,77.2,9.8,0,13,0,0
16.45,100,0,0,20.7,0,0,79.3,0,0
12.02,100,0,0,86.6,0,3.8,3.8,0,0
10.38,100,0,0,100,0,0,0,0,0
15.68,100,0,0,79.3,0,0,0,20.7,0
10.97,95.2,0,4.8,78.1,0,15.5,0,0,0
11.81,86.2,13.8,0,62,9.6,2.8,6.2,0,9.1
12.49,93.6,0,6.4,0.6,3.8,54.8,0,0,0
12.39,92.8,7.2,0,5.5,52.1,19.5,6.8,5.4,0
13.05,79.5,16.7,3.7,33.5,11.2,3.7,0,0,0
